Partners,Player_1,Player_2,Span,Inns,NO,Runs,High,Ave,Fifties,Hundreds
"N Jagadeesan, AT Rayudu",N Jagadeesan, AT Rayudu,2020-2020,1,0,64,64,64,1,0
"DP Conway, AT Rayudu",DP Conway, AT Rayudu,2022-2023,6,0,62,24,10.33,0,0
"MS Dhoni, MM Sharma",MS Dhoni, MM Sharma,2013-2014,2,2,61,35*,-,0,0
"RD Gaikwad, Sameer Rizvi",RD Gaikwad, Sameer Rizvi,2024-2024,2,1,61,37,61,0,0
"S Badrinath, JDP Oram",S Badrinath, JDP Oram,2008-2009,4,2,59,36,29.5,0,0
"MS Dhoni, S Vidyut",MS Dhoni, S Vidyut,2008-2008,1,0,57,57,57,1,0
"SP Fleming, SK Raina",SP Fleming, SK Raina,2008-2008,4,0,57,19,14.25,0,0
"R Ashwin, A Mhatre",R Ashwin, A Mhatre,2025-2025,1,0,56,56,56,1,0
"DL Chahar, SK Raina",DL Chahar, SK Raina,2018-2018,1,0,56,56,56,1,0
"DP Conway, A Mhatre",DP Conway, A Mhatre,2025-2025,3,0,56,44,18.66,0,0
"KM Jadhav, AT Rayudu",KM Jadhav, AT Rayudu,2018-2019,6,0,56,19,9.33,0,0
"GJ Bailey, ML Hayden",GJ Bailey, ML Hayden,2010-2010,1,0,55,55,55,1,0
"S Anirudha, JA Morkel",S Anirudha, JA Morkel,2011-2012,2,1,52,43*,52,0,0
"R Ashwin, JA Morkel",R Ashwin, JA Morkel,2010-2012,4,0,52,28,13,0,0
"A Flintoff, ML Hayden",A Flintoff, ML Hayden,2009-2009,1,0,52,52,52,1,0
"A Flintoff, SK Raina",A Flintoff, SK Raina,2009-2009,2,0,52,31,26,0,0
"JA Morkel, JDP Oram",JA Morkel, JDP Oram,2009-2009,3,0,52,26,17.33,0,0
"R Ashwin, F du Plessis",R Ashwin, F du Plessis,2014-2015,3,1,51,29,25.5,0,0
"S Badrinath, DE Bollinger",S Badrinath, DE Bollinger,2010-2011,2,1,51,35,51,0,0
"MS Dhoni, SN Thakur",MS Dhoni, SN Thakur,2019-2024,2,1,51,27*,51,0,0
"MS Gony, JA Morkel",MS Gony, JA Morkel,2008-2010,5,1,51,20*,12.75,0,0
"RD Gaikwad, SR Watson",RD Gaikwad, SR Watson,2020-2020,1,0,50,50,50,1,0
"RA Jadeja, P Negi",RA Jadeja, P Negi,2015-2015,4,1,50,25,16.66,0,0
"S Anirudha, MS Dhoni",S Anirudha, MS Dhoni,2011-2011,1,0,49,49,49,0,0
"MS Dhoni, CK Kapugedera",MS Dhoni, CK Kapugedera,2008-2008,2,0,48,28,24,0,0
"RD Gaikwad, N Jagadeesan",RD Gaikwad, N Jagadeesan,2022-2022,1,0,48,48,48,0,0
"DJ Bravo, MEK Hussey",DJ Bravo, MEK Hussey,2012-2013,4,0,47,21,11.75,0,0
"DP Conway, RA Jadeja",DP Conway, RA Jadeja,2022-2023,3,1,47,27,23.5,0,0
"SM Curran, A Mhatre",SM Curran, A Mhatre,2025-2025,3,0,47,39,15.66,0,0
"SM Curran, S Dube",SM Curran, S Dube,2025-2025,1,0,46,46,46,0,0
"RD Gaikwad, RA Tripathi",RD Gaikwad, RA Tripathi,2025-2025,1,0,46,46,46,0,0
"DP Conway, MS Dhoni",DP Conway, MS Dhoni,2022-2025,4,1,45,20,15,0,0
"Joginder Sharma, JA Morkel",Joginder Sharma, JA Morkel,2008-2009,3,0,45,38,15,0,0
"MS Dhoni, D Pretorius",MS Dhoni, D Pretorius,2022-2022,4,0,44,33,11,0,0
"SM Curran, Imran Tahir",SM Curran, Imran Tahir,2020-2020,1,0,43,43,43,0,0
"MEK Hussey, DR Smith",MEK Hussey, DR Smith,2015-2015,3,0,43,22,14.33,0,0
"V Shankar, RA Tripathi",V Shankar, RA Tripathi,2025-2025,1,0,43,43,43,0,0
"RA Jadeja, MJ Santner",RA Jadeja, MJ Santner,2019-2024,3,1,42,21,21,0,0
"DJ Bravo, Imran Tahir",DJ Bravo, Imran Tahir,2018-2018,1,0,41,41,41,0,0
"R Ravindra, RA Tripathi",R Ravindra, RA Tripathi,2025-2025,5,0,41,22,8.2,0,0
"R Ashwin, MEK Hussey",R Ashwin, MEK Hussey,2013-2013,2,0,40,24,20,0,0
"MS Dhoni, SP Fleming",MS Dhoni, SP Fleming,2008-2008,2,0,40,35,20,0,0
"RA Jadeja, DJ Mitchell",RA Jadeja, DJ Mitchell,2024-2024,2,0,40,33,20,0,0
