Winner,Result,Margin,BR,col5,Match,Ground,Start Date,Scorecard
RR,won,16 runs,,,RR v CSK,Sharjah,22-Sep-20,Scorecard
DC,won,44 runs,,,CSK v DC,Dubai (DICS),25-Sep-20,Scorecard
SRH,won,7 runs,,,CSK v SRH,Dubai (DICS),02-Oct-20,Scorecard
CSK,won,10 wickets,14,,Kings XI v CSK,Dubai (DICS),04-Oct-20,Scorecard
KKR,won,10 runs,,,KKR v CSK,Abu Dhabi,07-Oct-20,Scorecard
RCB,won,37 runs,,,CSK v RCB,Dubai (DICS),10-Oct-20,Scorecard
CSK,won,20 runs,,,SRH v CSK,Dubai (DICS),13-Oct-20,Scorecard
DC,won,5 wickets,1,,DC v CSK,Sharjah,17-Oct-20,Scorecard
RR,won,7 wickets,15,,CSK v RR,Abu Dhabi,19-Oct-20,Scorecard
MI,won,10 wickets,46,,CSK v MI,Sharjah,23-Oct-20,Scorecard
CSK,won,8 wickets,8,,RCB v CSK,Dubai (DICS),25-Oct-20,Scorecard
CSK,won,6 wickets,0,,CSK v KKR,Dubai (DICS),29-Oct-20,Scorecard
CSK,won,9 wickets,7,,CSK v Kings XI,Abu Dhabi,01-Nov-20,Scorecard
DC,won,7 wickets,8,,CSK v DC,Wankhede,10-Apr-21,Scorecard
CSK,won,6 wickets,26,,Punjab Kings v CSK,Wankhede,16-Apr-21,Scorecard
CSK,won,45 runs,,,CSK v RR,Wankhede,19-Apr-21,Scorecard
CSK,won,18 runs,,,KKR v CSK,Wankhede,21-Apr-21,Scorecard
CSK,won,69 runs,,,CSK v RCB,Wankhede,25-Apr-21,Scorecard
CSK,won,7 wickets,9,,CSK v SRH,Delhi,28-Apr-21,Scorecard
MI,won,4 wickets,0,,MI v CSK,Delhi,01-May-21,Scorecard
CSK,won,20 runs,,,CSK v MI,Dubai (DICS),19-Sep-21,Scorecard
CSK,won,6 wickets,11,,RCB v CSK,Sharjah,24-Sep-21,Scorecard
CSK,won,2 wickets,0,,CSK v KKR,Abu Dhabi,26-Sep-21,Scorecard
CSK,won,6 wickets,2,,SRH v CSK,Sharjah,30-Sep-21,Scorecard
RR,won,7 wickets,15,,RR v CSK,Abu Dhabi,02-Oct-21,Scorecard
DC,won,3 wickets,2,,DC v CSK,Dubai (DICS),04-Oct-21,Scorecard
Punjab Kings,won,6 wickets,42,,CSK v Punjab Kings,Dubai (DICS),07-Oct-21,Scorecard
CSK,won,4 wickets,2,,DC v CSK,Dubai (DICS),10-Oct-21,Scorecard
CSK,won,27 runs,,,CSK v KKR,Dubai (DICS),15-Oct-21,Scorecard
KKR,won,6 wickets,9,,CSK v KKR,Wankhede,26-Mar-22,Scorecard
LSG,won,6 wickets,3,,LSG v CSK,Brabourne,31-Mar-22,Scorecard
Punjab Kings,won,54 runs,,,CSK v Punjab Kings,Brabourne,03-Apr-22,Scorecard
SRH,won,8 wickets,14,,CSK v SRH,DY Patil,09-Apr-22,Scorecard
CSK,won,23 runs,,,CSK v RCB,DY Patil,12-Apr-22,Scorecard
GT,won,3 wickets,1,,GT v CSK,Pune,17-Apr-22,Scorecard
CSK,won,3 wickets,0,,MI v CSK,DY Patil,21-Apr-22,Scorecard
Punjab Kings,won,11 runs,,,Punjab Kings v CSK,Wankhede,25-Apr-22,Scorecard
CSK,won,13 runs,,,SRH v CSK,Pune,01-May-22,Scorecard
RCB,won,13 runs,,,RCB v CSK,Pune,04-May-22,Scorecard
CSK,won,91 runs,,,CSK v DC,DY Patil,08-May-22,Scorecard
MI,won,5 wickets,31,,CSK v MI,Wankhede,12-May-22,Scorecard
GT,won,7 wickets,5,,CSK v GT,Wankhede,15-May-22,Scorecard
RR,won,5 wickets,2,,RR v CSK,Brabourne,20-May-22,Scorecard
GT,won,5 wickets,4,,GT v CSK,Ahmedabad,31-Mar-23,Scorecard
CSK,won,12 runs,,,CSK v LSG,Chennai,03-Apr-23,Scorecard
CSK,won,7 wickets,11,,MI v CSK,Wankhede,08-Apr-23,Scorecard
RR,won,3 runs,,,CSK v RR,Chennai,12-Apr-23,Scorecard
CSK,won,8 runs,,,RCB v CSK,Bengaluru,17-Apr-23,Scorecard
CSK,won,7 wickets,8,,CSK v SRH,Chennai,21-Apr-23,Scorecard
CSK,won,49 runs,,,KKR v CSK,Eden Gardens,23-Apr-23,Scorecard
RR,won,32 runs,,,RR v CSK,Jaipur,27-Apr-23,Scorecard
Punjab Kings,won,4 wickets,0,,CSK v Punjab Kings,Chennai,30-Apr-23,Scorecard
,n/r,-,,,LSG v CSK,Lucknow,03-May-23,Scorecard
CSK,won,6 wickets,14,,CSK v MI,Chennai,06-May-23,Scorecard
CSK,won,27 runs,,,CSK v DC,Chennai,10-May-23,Scorecard
KKR,won,6 wickets,9,,CSK v KKR,Chennai,14-May-23,Scorecard
CSK,won,77 runs,,,DC v CSK,Delhi,20-May-23,Scorecard
CSK,won,15 runs,,,CSK v GT,Chennai,23-May-23,Scorecard
CSK,won,5 wickets,0,,GT v CSK,Ahmedabad,28-May-23,Scorecard
CSK,won,6 wickets,8,,CSK v RCB,Chennai,22-Mar-24,Scorecard
CSK,won,63 runs,,,CSK v GT,Chennai,26-Mar-24,Scorecard
DC,won,20 runs,,,DC v CSK,Visakhapatnam,31-Mar-24,Scorecard
SRH,won,6 wickets,11,,SRH v CSK,Hyderabad,05-Apr-24,Scorecard
CSK,won,7 wickets,14,,CSK v KKR,Chennai,08-Apr-24,Scorecard
CSK,won,20 runs,,,MI v CSK,Wankhede,14-Apr-24,Scorecard
LSG,won,8 wickets,6,,LSG v CSK,Lucknow,19-Apr-24,Scorecard
LSG,won,6 wickets,3,,CSK v LSG,Chennai,23-Apr-24,Scorecard
CSK,won,78 runs,,,CSK v SRH,Chennai,28-Apr-24,Scorecard
Punjab Kings,won,7 wickets,13,,CSK v Punjab Kings,Chennai,01-May-24,Scorecard
CSK,won,28 runs,,,Punjab Kings v CSK,Dharamsala,05-May-24,Scorecard
GT,won,35 runs,,,GT v CSK,Ahmedabad,10-May-24,Scorecard
CSK,won,5 wickets,10,,CSK v RR,Chennai,12-May-24,Scorecard
RCB,won,27 runs,,,RCB v CSK,Bengaluru,18-May-24,Scorecard
CSK,won,4 wickets,5,,CSK v MI,Chennai,23-Mar-25,Scorecard
RCB,won,50 runs,,,CSK v RCB,Chennai,28-Mar-25,Scorecard
RR,won,6 runs,,,RR v CSK,Guwahati,30-Mar-25,Scorecard
DC,won,25 runs,,,CSK v DC,Chennai,05-Apr-25,Scorecard
Punjab Kings,won,18 runs,,,Punjab Kings v CSK,New Chandigarh,08-Apr-25,Scorecard
KKR,won,8 wickets,59,,CSK v KKR,Chennai,11-Apr-25,Scorecard
CSK,won,5 wickets,3,,LSG v CSK,Lucknow,14-Apr-25,Scorecard
MI,won,9 wickets,26,,MI v CSK,Wankhede,20-Apr-25,Scorecard
SRH,won,5 wickets,8,,CSK v SRH,Chennai,25-Apr-25,Scorecard
Punjab Kings,won,4 wickets,2,,CSK v Punjab Kings,Chennai,30-Apr-25,Scorecard
RCB,won,2 runs,,,RCB v CSK,Bengaluru,03-May-25,Scorecard
CSK,won,2 wickets,2,,KKR v CSK,Eden Gardens,07-May-25,Scorecard
RR,won,6 wickets,17,,CSK v RR,Delhi,20-May-25,Scorecard
CSK,won,83 runs,,,GT v CSK,Ahmedabad,25-May-25,Scorecard
